fy,month,period,bu,account_code,account_name,account_type,group,sub_group,budget,actual,variance,variance_pct
FY24-25,2025-01,Jan-2025,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,367539,395136,27597,7.5
FY24-25,2025-02,Feb-2025,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,382955,389769,6814,1.8
FY24-25,2025-03,Mar-2025,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,402301,413799,11498,2.9
FY25-26,2025-04,Apr-2025,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,334757,336400,1643,0.5
FY25-26,2025-05,May-2025,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,350167,390917,40750,11.6
FY25-26,2025-06,Jun-2025,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,365921,390046,24125,6.6
FY25-26,2025-07,Jul-2025,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,378243,379928,1685,0.4
FY25-26,2025-08,Aug-2025,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,371665,370714,-951,-0.3
FY25-26,2025-09,Sep-2025,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,388141,389219,1078,0.3
FY25-26,2025-10,Oct-2025,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,404982,385228,-19754,-4.9
FY25-26,2025-11,Nov-2025,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,406264,405791,-473,-0.1
FY25-26,2025-12,Dec-2025,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,399441,430518,31077,7.8
FY25-26,2026-01,Jan-2026,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,429157,376143,-53014,-12.4
FY25-26,2026-02,Feb-2026,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,447158,391629,-55529,-12.4
FY25-26,2026-03,Mar-2026,Digital Engineering,5102,Software Subscriptions (SaaS Tools),Expense,Expenses,Cost of services,469747,488430,18683,4.0
FY24-25,2024-04,Apr-2024,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,267454,275495,8041,3.0
FY24-25,2024-05,May-2024,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,279766,259737,-20029,-7.2
FY24-25,2024-06,Jun-2024,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,292352,298670,6318,2.2
FY24-25,2024-07,Jul-2024,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,302197,329881,27684,9.2
FY24-25,2024-08,Aug-2024,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,296941,285682,-11259,-3.8
FY24-25,2024-09,Sep-2024,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,310105,292329,-17776,-5.7
FY24-25,2024-10,Oct-2024,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,323560,306885,-16675,-5.2
FY24-25,2024-11,Nov-2024,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,324584,367173,42589,13.1
FY24-25,2024-12,Dec-2024,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,319133,309656,-9477,-3.0
FY24-25,2025-01,Jan-2025,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,342875,367705,24830,7.2
FY24-25,2025-02,Feb-2025,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,357256,303542,-53714,-15.0
FY24-25,2025-03,Mar-2025,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,375304,370691,-4613,-1.2
FY25-26,2025-04,Apr-2025,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,312293,332812,20519,6.6
FY25-26,2025-05,May-2025,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,326669,347423,20754,6.4
FY25-26,2025-06,Jun-2025,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,341365,371654,30289,8.9
FY25-26,2025-07,Jul-2025,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,352860,342044,-10816,-3.1
FY25-26,2025-08,Aug-2025,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,346724,384357,37633,10.9
FY25-26,2025-09,Sep-2025,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,362094,335439,-26655,-7.4
FY25-26,2025-10,Oct-2025,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,377806,344873,-32933,-8.7
FY25-26,2025-11,Nov-2025,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,379001,369598,-9403,-2.5
FY25-26,2025-12,Dec-2025,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,372636,397124,24488,6.6
FY25-26,2026-01,Jan-2026,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,400358,343997,-56361,-14.1
FY25-26,2026-02,Feb-2026,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,417151,416551,-600,-0.1
FY25-26,2026-03,Mar-2026,Digital Engineering,5103,Software Licence Fees,Expense,Expenses,Cost of services,438224,442631,4407,1.0
FY24-25,2024-04,Apr-2024,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,216596,200944,-15652,-7.2
FY24-25,2024-05,May-2024,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,226566,218406,-8160,-3.6
FY24-25,2024-06,Jun-2024,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,236759,242146,5387,2.3
FY24-25,2024-07,Jul-2024,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,244732,249839,5107,2.1
FY24-25,2024-08,Aug-2024,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,240476,241039,563,0.2
FY24-25,2024-09,Sep-2024,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,251136,251431,295,0.1
FY24-25,2024-10,Oct-2024,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,262033,248203,-13830,-5.3
FY24-25,2024-11,Nov-2024,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,262862,322437,59575,22.7
FY24-25,2024-12,Dec-2024,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,258448,281062,22614,8.7
FY24-25,2025-01,Jan-2025,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,277675,270064,-7611,-2.7
FY24-25,2025-02,Feb-2025,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,289321,241254,-48067,-16.6
FY24-25,2025-03,Mar-2025,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,303937,279425,-24512,-8.1
FY25-26,2025-04,Apr-2025,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,252908,281279,28371,11.2
FY25-26,2025-05,May-2025,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,264551,284940,20389,7.7
FY25-26,2025-06,Jun-2025,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,276453,293951,17498,6.3
FY25-26,2025-07,Jul-2025,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,285762,333834,48072,16.8
FY25-26,2025-08,Aug-2025,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,280792,307043,26251,9.3
FY25-26,2025-09,Sep-2025,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,293240,306226,12986,4.4
FY25-26,2025-10,Oct-2025,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,305963,253263,-52700,-17.2
FY25-26,2025-11,Nov-2025,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,306932,289739,-17193,-5.6
FY25-26,2025-12,Dec-2025,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,301777,300616,-1161,-0.4
FY25-26,2026-01,Jan-2026,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,324228,303378,-20850,-6.4
FY25-26,2026-02,Feb-2026,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,337827,290811,-47016,-13.9
FY25-26,2026-03,Mar-2026,Digital Engineering,5104,Data & Connectivity Charges,Expense,Expenses,Cost of services,354893,340460,-14433,-4.1
FY24-25,2024-04,Apr-2024,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,203271,179987,-23284,-11.5
FY24-25,2024-05,May-2024,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,212628,197817,-14811,-7.0
FY24-25,2024-06,Jun-2024,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,222194,212347,-9847,-4.4
FY24-25,2024-07,Jul-2024,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,229676,220512,-9164,-4.0
FY24-25,2024-08,Aug-2024,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,225682,229172,3490,1.5
FY24-25,2024-09,Sep-2024,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,235686,257072,21386,9.1
FY24-25,2024-10,Oct-2024,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,245913,270608,24695,10.0
FY24-25,2024-11,Nov-2024,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,246691,264616,17925,7.3
FY24-25,2024-12,Dec-2024,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,242548,251024,8476,3.5
FY24-25,2025-01,Jan-2025,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,260592,273396,12804,4.9
FY24-25,2025-02,Feb-2025,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,271522,250384,-21138,-7.8
FY24-25,2025-03,Mar-2025,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,285239,273584,-11655,-4.1
FY25-26,2025-04,Apr-2025,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,237350,240012,2662,1.1
FY25-26,2025-05,May-2025,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,248275,267793,19518,7.9
FY25-26,2025-06,Jun-2025,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,259445,261193,1748,0.7
FY25-26,2025-07,Jul-2025,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,268182,277674,9492,3.5
FY25-26,2025-08,Aug-2025,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,263518,287834,24316,9.2
FY25-26,2025-09,Sep-2025,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,275200,288661,13461,4.9
FY25-26,2025-10,Oct-2025,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,287140,279206,-7934,-2.8
FY25-26,2025-11,Nov-2025,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,288049,283590,-4459,-1.5
FY25-26,2025-12,Dec-2025,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,283212,305550,22338,7.9
FY25-26,2026-01,Jan-2026,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,304281,276925,-27356,-9.0
FY25-26,2026-02,Feb-2026,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,317043,306649,-10394,-3.3
FY25-26,2026-03,Mar-2026,Digital Engineering,5105,Third-party API / Platform Fees,Expense,Expenses,Cost of services,333060,300512,-32548,-9.8
FY24-25,2024-04,Apr-2024,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,59321,59529,208,0.4
FY24-25,2024-05,May-2024,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,59321,55880,-3441,-5.8
FY24-25,2024-06,Jun-2024,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,59321,57043,-2278,-3.8
FY24-25,2024-07,Jul-2024,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,59321,58612,-709,-1.2
FY24-25,2024-08,Aug-2024,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,59321,57940,-1381,-2.3
FY24-25,2024-09,Sep-2024,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,59321,60749,1428,2.4
FY24-25,2024-10,Oct-2024,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,59321,58958,-363,-0.6
FY24-25,2024-11,Nov-2024,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,59321,58677,-644,-1.1
FY24-25,2024-12,Dec-2024,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,59321,58811,-510,-0.9
FY24-25,2025-01,Jan-2025,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,59321,60993,1672,2.8
FY24-25,2025-02,Feb-2025,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,59321,58153,-1168,-2.0
FY24-25,2025-03,Mar-2025,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,59321,59849,528,0.9
FY25-26,2025-04,Apr-2025,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,62881,63593,712,1.1
FY25-26,2025-05,May-2025,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,62881,66389,3508,5.6
FY25-26,2025-06,Jun-2025,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,62881,64027,1146,1.8
FY25-26,2025-07,Jul-2025,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,62881,65347,2466,3.9
FY25-26,2025-08,Aug-2025,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,62881,62369,-512,-0.8
FY25-26,2025-09,Sep-2025,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,62881,62317,-564,-0.9
FY25-26,2025-10,Oct-2025,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,62881,63021,140,0.2
FY25-26,2025-11,Nov-2025,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,62881,67703,4822,7.7
FY25-26,2025-12,Dec-2025,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,62881,62515,-366,-0.6
FY25-26,2026-01,Jan-2026,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,62881,63075,194,0.3
FY25-26,2026-02,Feb-2026,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,62881,62452,-429,-0.7
FY25-26,2026-03,Mar-2026,Digital Engineering,6000,Rent - Office Premises,Expense,Expenses,Other expenses,62881,58584,-4297,-6.8
FY24-25,2024-04,Apr-2024,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,53815,54591,776,1.4
FY24-25,2024-05,May-2024,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,53815,52659,-1156,-2.1
FY24-25,2024-06,Jun-2024,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,53815,53213,-602,-1.1
FY24-25,2024-07,Jul-2024,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,53815,53017,-798,-1.5
FY24-25,2024-08,Aug-2024,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,53815,52204,-1611,-3.0
FY24-25,2024-09,Sep-2024,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,53815,53010,-805,-1.5
FY24-25,2024-10,Oct-2024,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,53815,56199,2384,4.4
FY24-25,2024-11,Nov-2024,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,53815,53594,-221,-0.4
FY24-25,2024-12,Dec-2024,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,53815,51400,-2415,-4.5
FY24-25,2025-01,Jan-2025,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,53815,50732,-3083,-5.7
FY24-25,2025-02,Feb-2025,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,53815,53475,-340,-0.6
FY24-25,2025-03,Mar-2025,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,53815,50992,-2823,-5.2
FY25-26,2025-04,Apr-2025,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,57044,55858,-1186,-2.1
FY25-26,2025-05,May-2025,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,57044,62526,5482,9.6
FY25-26,2025-06,Jun-2025,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,57044,57384,340,0.6
FY25-26,2025-07,Jul-2025,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,57044,55797,-1247,-2.2
FY25-26,2025-08,Aug-2025,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,57044,60735,3691,6.5
FY25-26,2025-09,Sep-2025,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,57044,59770,2726,4.8
FY25-26,2025-10,Oct-2025,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,57044,54327,-2717,-4.8
FY25-26,2025-11,Nov-2025,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,57044,57900,856,1.5
FY25-26,2025-12,Dec-2025,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,57044,59215,2171,3.8
FY25-26,2026-01,Jan-2026,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,57044,59274,2230,3.9
FY25-26,2026-02,Feb-2026,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,57044,56342,-702,-1.2
FY25-26,2026-03,Mar-2026,Digital Engineering,6001,Rates & Taxes,Expense,Expenses,Other expenses,57044,57856,812,1.4
FY24-25,2024-04,Apr-2024,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,55230,55479,249,0.5
FY24-25,2024-05,May-2024,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,55230,55575,345,0.6
FY24-25,2024-06,Jun-2024,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,55230,57339,2109,3.8
FY24-25,2024-07,Jul-2024,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,55230,58974,3744,6.8
FY24-25,2024-08,Aug-2024,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,55230,54780,-450,-0.8
FY24-25,2024-09,Sep-2024,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,55230,55005,-225,-0.4
FY24-25,2024-10,Oct-2024,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,55230,56805,1575,2.9
FY24-25,2024-11,Nov-2024,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,55230,52679,-2551,-4.6
FY24-25,2024-12,Dec-2024,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,55230,53924,-1306,-2.4
FY24-25,2025-01,Jan-2025,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,55230,56472,1242,2.2
FY24-25,2025-02,Feb-2025,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,55230,56836,1606,2.9
FY24-25,2025-03,Mar-2025,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,55230,53058,-2172,-3.9
FY25-26,2025-04,Apr-2025,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,58544,60332,1788,3.1
FY25-26,2025-05,May-2025,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,58544,56066,-2478,-4.2
FY25-26,2025-06,Jun-2025,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,58544,56735,-1809,-3.1
FY25-26,2025-07,Jul-2025,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,58544,59700,1156,2.0
FY25-26,2025-08,Aug-2025,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,58544,56720,-1824,-3.1
FY25-26,2025-09,Sep-2025,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,58544,61340,2796,4.8
FY25-26,2025-10,Oct-2025,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,58544,56542,-2002,-3.4
FY25-26,2025-11,Nov-2025,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,58544,59200,656,1.1
FY25-26,2025-12,Dec-2025,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,58544,60010,1466,2.5
FY25-26,2026-01,Jan-2026,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,58544,59320,776,1.3
FY25-26,2026-02,Feb-2026,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,58544,57332,-1212,-2.1
FY25-26,2026-03,Mar-2026,Digital Engineering,6002,Electricity & Water,Expense,Expenses,Other expenses,58544,59994,1450,2.5
FY24-25,2024-04,Apr-2024,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,63425,64002,577,0.9
FY24-25,2024-05,May-2024,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,63425,63371,-54,-0.1
FY24-25,2024-06,Jun-2024,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,63425,64671,1246,2.0
FY24-25,2024-07,Jul-2024,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,63425,67993,4568,7.2
FY24-25,2024-08,Aug-2024,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,63425,62977,-448,-0.7
FY24-25,2024-09,Sep-2024,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,63425,64422,997,1.6
FY24-25,2024-10,Oct-2024,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,63425,63297,-128,-0.2
FY24-25,2024-11,Nov-2024,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,63425,63859,434,0.7
FY24-25,2024-12,Dec-2024,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,63425,61382,-2043,-3.2
FY24-25,2025-01,Jan-2025,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,63425,60274,-3151,-5.0
FY24-25,2025-02,Feb-2025,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,63425,63875,450,0.7
FY24-25,2025-03,Mar-2025,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,63425,59633,-3792,-6.0
FY25-26,2025-04,Apr-2025,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,67231,66585,-646,-1.0
FY25-26,2025-05,May-2025,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,67231,69003,1772,2.6
FY25-26,2025-06,Jun-2025,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,67231,68986,1755,2.6
FY25-26,2025-07,Jul-2025,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,67231,68712,1481,2.2
FY25-26,2025-08,Aug-2025,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,67231,70117,2886,4.3
FY25-26,2025-09,Sep-2025,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,67231,68411,1180,1.8
FY25-26,2025-10,Oct-2025,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,67231,68583,1352,2.0
FY25-26,2025-11,Nov-2025,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,67231,66972,-259,-0.4
FY25-26,2025-12,Dec-2025,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,67231,66357,-874,-1.3
FY25-26,2026-01,Jan-2026,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,67231,69057,1826,2.7
FY25-26,2026-02,Feb-2026,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,67231,67189,-42,-0.1
FY25-26,2026-03,Mar-2026,Digital Engineering,6003,Repairs & Maintenance - Building,Expense,Expenses,Other expenses,67231,67511,280,0.4
FY24-25,2024-04,Apr-2024,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,61094,60485,-609,-1.0
FY24-25,2024-05,May-2024,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,61094,64224,3130,5.1
FY24-25,2024-06,Jun-2024,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,61094,60391,-703,-1.2
FY24-25,2024-07,Jul-2024,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,61094,62587,1493,2.4
FY24-25,2024-08,Aug-2024,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,61094,60577,-517,-0.8
FY24-25,2024-09,Sep-2024,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,61094,59821,-1273,-2.1
FY24-25,2024-10,Oct-2024,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,61094,61223,129,0.2
FY24-25,2024-11,Nov-2024,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,61094,63327,2233,3.7
FY24-25,2024-12,Dec-2024,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,61094,60562,-532,-0.9
FY24-25,2025-01,Jan-2025,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,61094,60004,-1090,-1.8
FY24-25,2025-02,Feb-2025,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,61094,60996,-98,-0.2
FY24-25,2025-03,Mar-2025,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,61094,62193,1099,1.8
FY25-26,2025-04,Apr-2025,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,64760,64353,-407,-0.6
FY25-26,2025-05,May-2025,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,64760,65534,774,1.2
FY25-26,2025-06,Jun-2025,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,64760,62586,-2174,-3.4
FY25-26,2025-07,Jul-2025,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,64760,67767,3007,4.6
FY25-26,2025-08,Aug-2025,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,64760,62214,-2546,-3.9
FY25-26,2025-09,Sep-2025,Digital Engineering,6004,Repairs & Maintenance - Equipment,Expense,Expenses,Other expenses,64760,66750,1990,3.1
